Disgusto,Alegria,Alegria,Alegria,Alegria,Alegria,Alegria,Disgusto,Alegria,Alegria,Alegria,Alegria,Sorpresa,Alegria,Sorpresa,Sorpresa,Alegria,Alegria,Disgusto,Sorpresa,Alegria,Alegria,Alegria,Alegria,Sorpresa,Sorpresa,Alegria,Alegria,Sorpresa,Angustia,Neutral,Angustia,Alegria,Angustia,Sorpresa,Alegria,Alegria,Alegria,Alegria,Alegria,Angustia,Sorpresa,Angustia,Sorpresa,Sorpresa,Alegria,Angustia,Sorpresa,Sorpresa,Sorpresa,Sorpresa,Neutral,Alegria,Alegria,Sorpresa,Sorpresa,Angustia,Angustia,Alegria,Alegria,Alegria,Alegria,Alegria,Alegria,Angustia,Alegria,Angustia,Alegria,Sorpresa,Disgusto,Alegria,Angustia,Sorpresa,Sorpresa,Neutral,Sorpresa,Alegria,Sorpresa,Alegria,Neutral,Alegria,Alegria,Alegria,Alegria,Sorpresa,Alegria,Sorpresa,Neutral,Sorpresa,Alegria,Sorpresa,Alegria,Alegria,Alegria,Alegria,Angustia,Alegria,Sorpresa,Alegria,Alegria,Angustia,Alegria,Disgusto,Neutral,Sorpresa,Alegria,Sorpresa,Angustia,Alegria,Sorpresa,Alegria,Alegria,Neutral,Disgusto,Alegria,Alegria,Alegria,Neutral,Angustia,Alegria,Disgusto,Disgusto,Alegria,Alegria,Alegria,Sorpresa,Sorpresa,Sorpresa,Alegria,Alegria,Sorpresa,Alegria,Alegria,Alegria,Alegria,Sorpresa,Alegria,Sorpresa,Alegria,Alegria,Alegria,Sorpresa,Sorpresa,Sorpresa,Alegria,Alegria,Disgusto,Sorpresa,Sorpresa,Alegria,Alegria,Alegria,Alegria,Sorpresa,Sorpresa,Alegria,Sorpresa,Sorpresa,Alegria,Alegria,Alegria,Sorpresa,Alegria,Alegria,Alegria,Alegria,Disgusto,Neutral,Alegria,Neutral,Alegria,Sorpresa,Neutral,Alegria,Alegria,Alegria,Sorpresa,Neutral,Alegria,Alegria,Alegria,Neutral,Sorpresa,Alegria,Sorpresa,Angustia,Angustia,Angustia,Sorpresa,Sorpresa,Sorpresa,Sorpresa,Sorpresa,Alegria,Neutral,Sorpresa,Alegria,Alegria,Alegria,Sorpresa,Angustia
Sorpresa,Alegria,Alegria,Alegria,Alegria,Alegria,Alegria,Angustia,Alegria,Alegria,Sorpresa,Alegria,Alegria,Alegria,Sorpresa,Neutral,Alegria,Angustia,Angustia,Sorpresa,Alegria,Alegria,Alegria,Alegria,Angustia,Sorpresa,Alegria,Alegria,Disgusto,Disgusto,Alegria,Angustia,Neutral,Angustia,Alegria,Alegria,Alegria,Angustia,Alegria,Alegria,Sorpresa,Angustia,Disgusto,Sorpresa,Neutral,Alegria,Alegria,Sorpresa,Alegria,Sorpresa,Sorpresa,Sorpresa,Alegria,Alegria,Disgusto,Sorpresa,Angustia,Angustia,Sorpresa,Alegria,Alegria,Sorpresa,Sorpresa,Alegria,Angustia,Sorpresa,Alegria,Alegria,Angustia,Sorpresa,Sorpresa,Sorpresa,Alegria,Disgusto,Neutral,Angustia,Alegria,Sorpresa,Alegria,Alegria,Sorpresa,Sorpresa,Sorpresa,Neutral,Neutral,Alegria,Sorpresa,Sorpresa,Angustia,Angustia,Alegria,Sorpresa,Alegria,Alegria,Sorpresa,Disgusto,Angustia,Angustia,Alegria,Alegria,Angustia,Sorpresa,Angustia,Disgusto,Sorpresa,Alegria,Disgusto,Angustia,Angustia,Sorpresa,Sorpresa,Alegria,Sorpresa,Angustia,Neutral,Alegria,Sorpresa,Sorpresa,Angustia,Alegria,Angustia,Angustia,Neutral,Angustia,Alegria,Angustia,Angustia,Sorpresa,Sorpresa,Alegria,Angustia,Neutral,Sorpresa,Alegria,Alegria,Disgusto,Neutral,Sorpresa,Sorpresa,Alegria,Sorpresa,Alegria,Angustia,Disgusto,Sorpresa,Neutral,Sorpresa,Sorpresa,Neutral,Alegria,Alegria,Alegria,Alegria,Sorpresa,Sorpresa,Alegria,Alegria,Sorpresa,Alegria,Alegria,Alegria,Neutral,Alegria,Sorpresa,Alegria,Alegria,Sorpresa,Sorpresa,Alegria,Alegria,Alegria,Neutral,Neutral,Alegria,Alegria,Alegria,Sorpresa,Neutral,Alegria,Sorpresa,Neutral,Neutral,Sorpresa,Alegria,Sorpresa,Sorpresa,Sorpresa,Angustia,Alegria,Sorpresa,Alegria,Angustia,Sorpresa,Alegria,Sorpresa,Sorpresa,Alegria,Alegria,Angustia,Sorpresa,Alegria
Angustia,Alegria,Sorpresa,Alegria,Sorpresa,Sorpresa,Neutral,Disgusto,Sorpresa,Alegria,Alegria,Sorpresa,Angustia,Alegria,Sorpresa,Sorpresa,Alegria,Angustia,Angustia,Sorpresa,Alegria,Alegria,Alegria,Sorpresa,Angustia,Angustia,Sorpresa,Alegria,Angustia,Angustia,Neutral,Disgusto,Sorpresa,Angustia,Sorpresa,Alegria,Alegria,Alegria,Sorpresa,Alegria,Angustia,Angustia,Sorpresa,Sorpresa,Neutral,Sorpresa,Angustia,Angustia,Sorpresa,Sorpresa,Angustia,Sorpresa,Alegria,Alegria,Angustia,Sorpresa,Angustia,Angustia,Alegria,Alegria,Alegria,Alegria,Alegria,Alegria,Angustia,Alegria,Alegria,Alegria,Angustia,Sorpresa,Alegria,Angustia,Sorpresa,Sorpresa,Neutral,Angustia,Alegria,Sorpresa,Alegria,Neutral,Alegria,Alegria,Alegria,Neutral,Neutral,Alegria,Sorpresa,Neutral,Angustia,Angustia,Alegria,Alegria,Alegria,Alegria,Alegria,Disgusto,Angustia,Angustia,Alegria,Alegria,Angustia,Alegria,Angustia,Disgusto,Sorpresa,Alegria,Sorpresa,Angustia,Angustia,Sorpresa,Sorpresa,Alegria,Alegria,Angustia,Neutral,Alegria,Alegria,Neutral,Disgusto,Alegria,Disgusto,Disgusto,Alegria,Alegria,Alegria,Angustia,Angustia,Sorpresa,Sorpresa,Alegria,Angustia,Alegria,Alegria,Alegria,Alegria,Disgusto,Alegria,Sorpresa,Alegria,Alegria,Sorpresa,Sorpresa,Angustia,Angustia,Sorpresa,Neutral,Sorpresa,Sorpresa,Neutral,Alegria,Alegria,Alegria,Sorpresa,Sorpresa,Disgusto,Alegria,Alegria,Angustia,Alegria,Sorpresa,Alegria,Sorpresa,Alegria,Alegria,Alegria,Sorpresa,Disgusto,Angustia,Sorpresa,Alegria,Neutral,Angustia,Neutral,Sorpresa,Sorpresa,Alegria,Angustia,Neutral,Alegria,Angustia,Sorpresa,Sorpresa,Alegria,Alegria,Sorpresa,Angustia,Angustia,Angustia,Sorpresa,Sorpresa,Alegria,Angustia,Sorpresa,Alegria,Sorpresa,Sorpresa,Alegria,Alegria,Angustia,Angustia,Angustia
Nulo,Alegria,Alegria,Alegria,Alegria,Alegria,Alegria,Disgusto,Alegria,Alegria,Alegria,Alegria,Nulo,Alegria,Sorpresa,Sorpresa,Alegria,Angustia,Angustia,Sorpresa,Alegria,Alegria,Alegria,Alegria,Angustia,Sorpresa,Alegria,Alegria,Angustia,Angustia,Neutral,Angustia,Nulo,Angustia,Sorpresa,Alegria,Alegria,Alegria,Alegria,Alegria,Angustia,Angustia,Nulo,Sorpresa,Neutral,Alegria,Angustia,Sorpresa,Sorpresa,Sorpresa,Sorpresa,Sorpresa,Alegria,Alegria,Nulo,Sorpresa,Angustia,Angustia,Alegria,Alegria,Alegria,Alegria,Alegria,Alegria,Angustia,Alegria,Alegria,Alegria,Angustia,Sorpresa,Alegria,Angustia,Sorpresa,Sorpresa,Neutral,Angustia,Alegria,Sorpresa,Alegria,Neutral,Alegria,Alegria,Alegria,Neutral,Neutral,Alegria,Sorpresa,Neutral,Angustia,Angustia,Alegria,Alegria,Alegria,Alegria,Alegria,Disgusto,Alegria,Angustia,Alegria,Alegria,Angustia,Alegria,Angustia,Disgusto,Sorpresa,Alegria,Sorpresa,Angustia,Angustia,Sorpresa,Sorpresa,Alegria,Nulo,Angustia,Neutral,Alegria,Alegria,Neutral,Angustia,Alegria,Disgusto,Disgusto,Alegria,Alegria,Alegria,Angustia,Angustia,Sorpresa,Sorpresa,Alegria,Angustia,Alegria,Alegria,Alegria,Alegria,Disgusto,Alegria,Sorpresa,Alegria,Alegria,Sorpresa,Sorpresa,Angustia,Nulo,Sorpresa,Neutral,Sorpresa,Sorpresa,Neutral,Alegria,Alegria,Alegria,Alegria,Sorpresa,Sorpresa,Alegria,Alegria,Sorpresa,Alegria,Alegria,Alegria,Sorpresa,Alegria,Alegria,Alegria,Alegria,Disgusto,Nulo,Alegria,Alegria,Alegria,Nulo,Neutral,Alegria,Alegria,Alegria,Sorpresa,Neutral,Alegria,Nulo,Nulo,Neutral,Sorpresa,Alegria,Sorpresa,Angustia,Angustia,Angustia,Sorpresa,Sorpresa,Alegria,Angustia,Sorpresa,Alegria,Sorpresa,Sorpresa,Alegria,Alegria,Alegria,Sorpresa,Angustia
